,month,inventory,counts,ln_area
1897-12-31,12,seattle,1,-5.596723402362794
1898-01-31,1,seattle,0,-5.596723402362794
1898-02-28,2,seattle,0,-5.596723402362794
1898-03-31,3,seattle,0,-5.596723402362794
1898-04-30,4,seattle,0,-5.596723402362794
1898-05-31,5,seattle,0,-5.596723402362794
1898-06-30,6,seattle,0,-5.596723402362794
1898-07-31,7,seattle,0,-5.596723402362794
1898-08-31,8,seattle,0,-5.596723402362794
1898-09-30,9,seattle,0,-5.596723402362794
1898-10-31,10,seattle,0,-5.596723402362794
1898-11-30,11,seattle,0,-5.596723402362794
1898-12-31,12,seattle,0,-5.596723402362794
1899-01-31,1,seattle,0,-5.596723402362794
1899-02-28,2,seattle,0,-5.596723402362794
1899-03-31,3,seattle,0,-5.596723402362794
1899-04-30,4,seattle,0,-5.596723402362794
1899-05-31,5,seattle,0,-5.596723402362794
1899-06-30,6,seattle,0,-5.596723402362794
1899-07-31,7,seattle,0,-5.596723402362794
1899-08-31,8,seattle,0,-5.596723402362794
1899-09-30,9,seattle,0,-5.596723402362794
1899-10-31,10,seattle,0,-5.596723402362794
1899-11-30,11,seattle,0,-5.596723402362794
1899-12-31,12,seattle,0,-5.596723402362794
1900-01-31,1,seattle,0,-5.596723402362794
1900-02-28,2,seattle,0,-5.596723402362794
1900-03-31,3,seattle,0,-5.596723402362794
1900-04-30,4,seattle,0,-5.596723402362794
1900-05-31,5,seattle,0,-5.596723402362794
1900-06-30,6,seattle,0,-5.596723402362794
1900-07-31,7,seattle,0,-5.596723402362794
1900-08-31,8,seattle,0,-5.596723402362794
1900-09-30,9,seattle,0,-5.596723402362794
1900-10-31,10,seattle,0,-5.596723402362794
1900-11-30,11,seattle,0,-5.596723402362794
1900-12-31,12,seattle,0,-5.596723402362794
1901-01-31,1,seattle,0,-5.596723402362794
1901-02-28,2,seattle,0,-5.596723402362794
1901-03-31,3,seattle,0,-5.596723402362794
1901-04-30,4,seattle,0,-5.596723402362794
1901-05-31,5,seattle,0,-5.596723402362794
1901-06-30,6,seattle,0,-5.596723402362794
1901-07-31,7,seattle,0,-5.596723402362794
1901-08-31,8,seattle,0,-5.596723402362794
1901-09-30,9,seattle,0,-5.596723402362794
1901-10-31,10,seattle,0,-5.596723402362794
1901-11-30,11,seattle,0,-5.596723402362794
1901-12-31,12,seattle,0,-5.596723402362794
1902-01-31,1,seattle,0,-5.596723402362794
1902-02-28,2,seattle,0,-5.596723402362794
1902-03-31,3,seattle,0,-5.596723402362794
1902-04-30,4,seattle,0,-5.596723402362794
1902-05-31,5,seattle,0,-5.596723402362794
1902-06-30,6,seattle,0,-5.596723402362794
1902-07-31,7,seattle,0,-5.596723402362794
1902-08-31,8,seattle,0,-5.596723402362794
1902-09-30,9,seattle,0,-5.596723402362794
