,month,inventory,counts,ln_area,year,min,median,max,mean,ls_binom
0,12,seattle,1,-5.596723402362794,1897,,,,,1
1,1,seattle,0,-5.596723402362794,1898,,,,,0
2,2,seattle,0,-5.596723402362794,1898,,,,,0
3,3,seattle,0,-5.596723402362794,1898,,,,,0
4,4,seattle,0,-5.596723402362794,1898,,,,,0
5,5,seattle,0,-5.596723402362794,1898,,,,,0
6,6,seattle,0,-5.596723402362794,1898,,,,,0
7,7,seattle,0,-5.596723402362794,1898,,,,,0
8,8,seattle,0,-5.596723402362794,1898,,,,,0
9,9,seattle,0,-5.596723402362794,1898,,,,,0
10,10,seattle,0,-5.596723402362794,1898,,,,,0
11,11,seattle,0,-5.596723402362794,1898,,,,,0
12,12,seattle,0,-5.596723402362794,1898,,,,,0
13,1,seattle,0,-5.596723402362794,1899,,,,,0
14,2,seattle,0,-5.596723402362794,1899,,,,,0
15,3,seattle,0,-5.596723402362794,1899,,,,,0
16,4,seattle,0,-5.596723402362794,1899,,,,,0
17,5,seattle,0,-5.596723402362794,1899,,,,,0
18,6,seattle,0,-5.596723402362794,1899,,,,,0
19,7,seattle,0,-5.596723402362794,1899,,,,,0
20,8,seattle,0,-5.596723402362794,1899,,,,,0
21,9,seattle,0,-5.596723402362794,1899,,,,,0
22,10,seattle,0,-5.596723402362794,1899,,,,,0
23,11,seattle,0,-5.596723402362794,1899,,,,,0
24,12,seattle,0,-5.596723402362794,1899,,,,,0
25,1,seattle,0,-5.596723402362794,1900,,,,,0
26,2,seattle,0,-5.596723402362794,1900,,,,,0
27,3,seattle,0,-5.596723402362794,1900,,,,,0
28,4,seattle,0,-5.596723402362794,1900,,,,,0
29,5,seattle,0,-5.596723402362794,1900,,,,,0
30,6,seattle,0,-5.596723402362794,1900,,,,,0
31,7,seattle,0,-5.596723402362794,1900,,,,,0
32,8,seattle,0,-5.596723402362794,1900,,,,,0
33,9,seattle,0,-5.596723402362794,1900,,,,,0
34,10,seattle,0,-5.596723402362794,1900,,,,,0
35,11,seattle,0,-5.596723402362794,1900,,,,,0
36,12,seattle,0,-5.596723402362794,1900,,,,,0
37,1,seattle,0,-5.596723402362794,1901,,,,,0
38,2,seattle,0,-5.596723402362794,1901,,,,,0
39,3,seattle,0,-5.596723402362794,1901,,,,,0
40,4,seattle,0,-5.596723402362794,1901,,,,,0
41,5,seattle,0,-5.596723402362794,1901,,,,,0
42,6,seattle,0,-5.596723402362794,1901,,,,,0
43,7,seattle,0,-5.596723402362794,1901,,,,,0
44,8,seattle,0,-5.596723402362794,1901,,,,,0
45,9,seattle,0,-5.596723402362794,1901,,,,,0
46,10,seattle,0,-5.596723402362794,1901,,,,,0
47,11,seattle,0,-5.596723402362794,1901,,,,,0
48,12,seattle,0,-5.596723402362794,1901,,,,,0
49,1,seattle,0,-5.596723402362794,1902,,,,,0
50,2,seattle,0,-5.596723402362794,1902,,,,,0
51,3,seattle,0,-5.596723402362794,1902,,,,,0
52,4,seattle,0,-5.596723402362794,1902,,,,,0
53,5,seattle,0,-5.596723402362794,1902,,,,,0
54,6,seattle,0,-5.596723402362794,1902,,,,,0
55,7,seattle,0,-5.596723402362794,1902,,,,,0
56,8,seattle,0,-5.596723402362794,1902,,,,,0
57,9,seattle,0,-5.596723402362794,1902,,,,,0
